data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,187474348,192061074,15,
2022,187388464,191978892,5,
2022,187407262,191997694,3,
2022,187466438,192053451,21,
2022,187464712,192051777,18,
2022,187407786,191998232,3,
2022,187407786,191998233,25,
2022,187407787,191998232,25,
2022,187407787,191998233,3,
2022,187407546,191997988,15,
2022,187407552,191997993,1,
2022,187407574,191998019,24,
2022,187406989,191997426,1,
2022,187407685,191998133,17,
2022,187464517,192051565,1,
2022,183085347,187733820,1,
2022,183085567,187734043,21,
2022,183085566,187734042,14,
2022,183085568,187734044,21,
2022,183085570,187734046,1,
2022,183085576,187734051,18,
2022,183085577,187734051,18,
2022,183075576,187723893,18,
2022,183075576,187723894,18,
2022,183075577,187723893,18,
2022,183075577,187723894,18,
2022,183085581,187734055,14,
2022,183085582,187734056,1,
2022,183085585,187734059,19,
2022,183085590,187734064,3,
2022,187468003,192055003,17,
2022,183085600,187734073,3,
2022,183085610,187734083,1,
2022,183075579,187723896,18,
2022,183085619,187734092,16,
2022,183085621,187734094,21,
2022,183085622,187734095,1,
2022,183085631,187734104,3,
2022,183085632,187734105,3,
2022,183085633,187734106,18,
2022,183085633,187734107,18,
2022,183085641,187734116,3,
2022,183085652,187734129,18,
2022,183075586,187723903,19,
2022,183075588,187723905,25,
2022,183075588,187723906,24,
2022,183075589,187723905,24,
2022,183075589,187723906,25,
2022,183085657,187734134,14,
2022,183085659,187734136,19,
2022,183085660,187734137,3,
2022,183085661,187734138,18,
2022,183085663,187734140,1,
2022,183085666,187734143,9,
2022,187406539,191996997,1,
2022,183085667,187734144,1,
2022,183075590,187723907,25,
2022,183075590,187723908,9,
2022,183075591,187723907,9,
2022,183075591,187723908,25,
2022,183085673,187734151,1,
2022,183085674,187734152,1,
2022,183085685,187734163,1,
2022,183085686,187734163,1,
2022,183085690,187734167,9,
2022,183085687,187734164,16,
2022,183085691,187734168,1,
2022,183085688,187734165,22,
2022,183085699,187734175,1,
2022,183085698,187734174,1,
2022,183085704,187734181,3,
2022,183085705,187734182,1,
2022,183085710,187734186,16,
2022,183075596,187723913,25,
2022,183075596,187723914,1,
2022,183075597,187723913,9,
2022,183075597,187723914,25,
2022,183085713,187734189,21,
2022,183085717,187734193,16,
2022,183085718,187734194,21,
2022,183085727,187734202,3,
2022,187473838,192060583,3,
2022,183085723,187734199,18,
2022,183085724,187734199,18,
2022,176645612,181377776,3,
2022,183085731,187734206,1,
2022,183085732,187734207,21,
2022,183085733,187734208,9,
2022,183085734,187734209,3,
2022,187399855,191990303,24,
2022,183085788,187734259,21,
2022,183085789,187734260,3,
2022,183085790,187734261,19,
2022,183085796,187734267,5,
2022,183085797,187734268,17,
2022,187406870,191997315,18,
2022,183085800,187734271,3,
2022,183085805,187734276,5,
2022,187406507,191996964,1,
2022,183085806,187734277,1,
2022,183085807,187734278,16,
2022,183085808,187734279,1,
2022,183075601,187723918,21,
2022,183085809,187734280,3,
2022,183085811,187734282,18,
2022,183085814,187734285,3,
2022,183085815,187734286,1,
2022,187406552,191997008,1,
2022,183085819,187734290,3,
2022,183085821,187734292,21,
2022,183085824,187734295,3,
2022,183085825,187734296,3,
2022,183085823,187734294,16,
2022,183080130,187728499,10,
2022,183085737,187734212,3,
2022,183085741,187734217,16,
2022,183085743,187734219,1,
2022,183085747,187734223,1,
2022,183085748,187734224,11,
2022,183085753,187734226,18,
2022,183085756,187734229,1,
2022,183085757,187734230,1,
2022,183085758,187734231,3,
2022,183085759,187734232,3,
2022,183085761,187734233,21,
2022,183085762,187734234,18,
2022,183085765,187734237,14,
2022,176645574,181377741,17,
2022,183085771,187734242,11,
2022,183085779,187734250,15,
2022,183085780,187734250,19,
2022,183085782,187734252,21,
2022,183085854,187734327,9,
2022,183089103,187737562,20,
2022,183085861,187734334,19,
2022,183085861,187734335,17,
2022,183089105,187737564,17,
2022,183085862,187734336,3,
2022,183085868,187734343,1,
2022,183085868,187734344,1,
2022,183085869,187734342,1,
2022,183085869,187734344,1,
2022,183085877,187734356,18,
2022,183085878,187734356,18,
2022,183085885,187734363,19,
2022,183085887,187734365,17,
2022,183085886,187734364,1,
2022,183089106,187737565,17,
2022,183085891,187734369,21,
2022,183085892,187734370,1,
2022,183085892,187734371,18,
2022,183085892,187734372,1,
2022,183085893,187734370,1,
2022,183085893,187734371,1,
2022,183085893,187734372,18,
2022,183085896,187734375,3,
2022,183085900,187734378,18,
2022,183085905,187734383,19,
2022,183085907,187734385,17,
2022,183085908,187734386,1,
2022,183085917,187734395,3,
2022,183085918,187734396,21,
2022,183085926,187734403,1,
2022,183085928,187734405,26,
2022,183085931,187734408,3,
2022,183085937,187734412,1,
2022,183085938,187734413,16,
2022,183085949,187734426,16,
2022,183085955,187734433,9,
2022,183085955,187734434,9,
2022,183085959,187734436,21,
2022,183085962,187734439,1,
2022,183085962,187734440,1,
2022,183085960,187734437,21,
2022,183075612,187723931,1,
2022,183085966,187734446,21,
2022,183085971,187734452,16,
2022,183085971,187734453,16,
2022,183085971,187734454,16,
2022,183085970,187734451,1,
2022,183085975,187734459,21,
2022,183085976,187734460,9,
2022,187406632,191997083,1,
2022,187406632,191997084,1,
2022,187467996,192054996,10,
2022,176644230,181376372,18,
2022,183085992,187734475,19,
2022,183085996,187734479,1,
2022,183085997,187734480,24,
2022,183085999,187734482,1,
2022,183086001,187734483,18,
2022,183086002,187734484,18,
2022,187406690,191997135,1,
2022,187406692,191997137,1,
2022,183086003,187734485,18,
2022,183086004,187734486,3,
2022,183087942,187736415,25,
2022,183087942,187736416,24,
2022,183087943,187736415,24,
2022,183087943,187736416,25,
2022,187468014,192055014,15,
2022,187467485,192054482,25,
2022,183086012,187734494,21,
2022,183086015,187734498,24,
2022,183086016,187734499,1,
2022,183086022,187734505,21,
2022,183086024,187734507,21,
2022,183086025,187734508,21,
2022,183086028,187734511,3,
2022,183086026,187734509,7,
2022,183086026,187734510,7,
2022,183086027,187734509,7,
2022,183086027,187734510,7,
2022,183086029,187734512,1,
2022,183086032,187734515,17,
2022,183086031,187734514,1,
2022,183086042,187734525,17,
2022,183086043,187734526,14,
2022,183086043,187734527,14,
2022,183086050,187734533,19,
2022,183086052,187734535,3,
2022,183086056,187734539,3,
2022,183086060,187734541,18,
2022,183086060,187734542,18,
2022,183086066,187734547,3,
2022,183088021,187736494,14,
2022,183086068,187734549,1,
2022,183086070,187734551,1,
2022,183086069,187734550,21,
2022,183086074,187734558,3,
2022,187467485,192054483,3,
2022,187467486,192054482,3,
2022,183086076,187734561,1,
2022,187467486,192054483,25,
2022,187472764,192059497,5,
2022,183086083,187734570,14,
2022,183075617,187723936,24,
2022,183075618,187723936,24,
2022,183086100,187734580,25,
2022,183086100,187734581,1,
2022,183086101,187734580,1,
2022,183086101,187734581,25,
2022,183086103,187734583,21,
2022,183086104,187734584,3,
2022,183086113,187734593,1,
2022,183086114,187734594,25,
2022,183086114,187734595,1,
2022,183086115,187734594,1,
2022,183086115,187734595,25,
2022,183086117,187734597,1,
2022,183086122,187734602,1,
2022,183086129,187734608,18,
2022,183086129,187734609,1,
2022,183086130,187734608,1,
2022,183086130,187734609,18,
2022,187407004,191997444,24,
2022,183086135,187734614,3,
2022,183086136,187734615,18,
2022,183086137,187734616,18,
2022,183086138,187734617,3,
2022,183086140,187734619,25,
2022,183086140,187734620,1,
2022,183086141,187734619,1,
2022,183086141,187734620,25,
2022,187407847,191998287,15,
2022,187406694,191997139,1,
2022,187408989,191999500,1,
2022,183086149,187734630,18,
2022,183086148,187734628,9,
2022,183086148,187734629,9,
2022,183086150,187734631,5,
2022,183086151,187734632,3,
2022,183086152,187734633,3,
2022,183086154,187734635,3,
2022,183086158,187734638,1,
2022,183086165,187734645,5,
2022,183086168,187734648,18,
2022,183086169,187734649,19,
2022,183086173,187734653,21,
2022,183086176,187734656,16,
2022,183086179,187734659,21,
2022,183086181,187734661,1,
2022,183086182,187734663,1,
2022,183086182,187734664,1,
2022,183086183,187734662,1,
2022,183086183,187734664,1,
2022,183086184,187734662,1,
2022,183086184,187734663,1,
2022,183086185,187734665,15,
2022,183086188,187734668,1,
2022,183086190,187734670,5,
2022,183086189,187734669,18,
2022,183086191,187734671,21,
2022,183086194,187734674,25,
2022,183086194,187734675,9,
2022,183086195,187734674,9,
2022,183086195,187734675,25,
2022,183086192,187734672,1,
2022,183075620,187723938,9,
2022,183086202,187734682,1,
2022,183086201,187734681,9,
2022,183086205,187734685,16,
2022,183086203,187734683,1,
2022,183086204,187734684,24,
2022,183086209,187734689,1,
2022,183086209,187734690,1,
2022,183086210,187734691,18,
2022,183086211,187734691,18,
2022,183086212,187734692,15,
2022,187406696,191997141,1,
2022,187473253,192059996,3,
2022,187388978,191979419,9,
2022,187388445,191978874,1,
2022,187407873,191998314,1,
2022,187388796,191979248,18,
2022,187388450,191978879,3,
2022,187407837,191998277,1,
2022,187472424,192059161,1,
2022,183086227,187734708,1,
2022,183086233,187734713,18,
2022,183086234,187734714,3,
2022,183086236,187734716,9,
2022,183086235,187734715,3,
2022,183086244,187734726,9,
2022,183086249,187734731,7,
2022,183086252,187734734,18,
2022,183086252,187734735,3,
2022,183086253,187734734,3,
2022,183086253,187734735,18,
2022,183086257,187734739,18,
2022,183086257,187734740,1,
2022,183086258,187734739,1,
2022,183086258,187734740,18,
2022,183086261,187734743,19,
2022,183086264,187734746,3,
2022,183086262,187734744,9,
2022,183086262,187734745,9,
2022,183086263,187734744,9,
2022,183086263,187734745,9,
2022,183086268,187734750,3,
2022,183080161,187728530,3,
2022,183086273,187734755,25,
2022,183086273,187734756,1,
2022,183086274,187734755,1,
2022,183086274,187734756,25,
2022,183086275,187734757,3,
2022,183086276,187734758,1,
2022,183086285,187734767,18,
2022,183086291,187734773,18,
2022,183086291,187734774,9,
2022,183086292,187734773,9,
2022,187389043,191979479,1,
2022,187389049,191979486,21,
2022,187389040,191979476,19,
2022,187388460,191978889,19,
2022,187388437,191978867,3,
2022,187388607,191979032,24,
2022,187388436,191978866,9,
2022,187388495,191978923,5,
2022,187388521,191978948,16,
2022,187388589,191979013,3,
2022,183086292,187734774,18,
2022,183086301,187734783,18,
2022,183086303,187734785,18,
2022,183086304,187734786,3,
2022,183086307,187734787,18,
2022,183086307,187734788,18,
2022,183086308,187734789,18,
2022,183086309,187734789,18,
2022,183086311,187734791,3,
2022,183086317,187734797,18,
2022,183086317,187734798,24,
2022,183086318,187734797,24,
2022,183086318,187734798,18,
2022,183086323,187734803,17,
2022,183086324,187734804,18,
2022,183086326,187734806,18,
2022,183086343,187734823,24,
2022,183086352,187734832,24,
2022,183086353,187734833,3,
2022,183086356,187734836,16,
2022,183086364,187734842,1,
2022,183086367,187734845,9,
2022,183086372,187734849,13,
2022,183086385,187734862,3,
2022,183086386,187734863,1,
2022,183086399,187734877,3,
2022,183086401,187734879,17,
2022,183086402,187734879,17,
2022,183086405,187734882,3,
2022,183086407,187734884,18,
2022,183086409,187734886,24,
2022,187472147,192058911,1,
2022,183086412,187734889,18,
2022,183086413,187734889,18,
2022,183086415,187734891,19,
2022,183086414,187734890,21,
2022,183086417,187734893,18,
2022,183086421,187734897,3,
2022,183086427,187734903,17,
2022,183086432,187734909,9,
2022,187472147,192058912,1,
2022,187388524,191978951,3,
2022,183088415,187736883,1,
2022,183086434,187734910,3,
2022,187406826,191997273,17,
2022,183086442,187734919,1,
2022,183086443,187734920,18,
2022,187388544,191978971,5,
2022,183086444,187734921,1,
2022,183086446,187734923,16,
2022,183086446,187734924,24,
2022,183086445,187734922,18,
2022,183086448,187734926,3,
2022,187388514,191978941,17,
2022,187406293,191996767,5,
2022,183086461,187734941,3,
2022,187388517,191978944,15,
2022,183086455,187734935,1,
2022,187388522,191978949,1,
2022,187406983,191997422,1,
2022,187388525,191978952,24,
2022,183086472,187734955,3,
2022,187388819,191979268,9,
2022,183086474,187734957,21,
2022,183086477,187734960,3,
2022,187388570,191978995,1,
2022,183086486,187734966,21,
2022,187388565,191978992,9,
2022,183086485,187734965,21,
2022,187388593,191979017,3,
2022,183086491,187734972,3,
2022,187388595,191979021,24,
2022,183086499,187734980,25,
2022,183086499,187734981,1,
2022,183086500,187734980,1,
2022,183086500,187734981,25,
2022,187388595,191979022,24,
2022,187388578,191979003,24,
2022,187388580,191979005,21,
2022,183086506,187734987,16,
2022,187388582,191979007,3,
2022,183086508,187734990,18,
2022,183086508,187734991,18,
2022,187388609,191979034,3,
2022,183086509,187734990,18,
2022,183086509,187734991,18,
2022,183086510,187734992,1,
2022,187388716,191979171,1,
2022,183086513,187734995,17,
2022,183086515,187734997,9,
2022,187388630,191979054,18,
2022,187388641,191979087,1,
2022,183086526,187735008,3,
2022,183086527,187735009,16,
2022,187388668,191979122,17,
2022,183086535,187735018,21,
2022,183086536,187735019,16,
2022,187388643,191979089,21,
2022,187388644,191979090,21,
2022,187388687,191979141,19,
2022,187388689,191979143,3,
2022,183086543,187735027,1,
2022,183086544,187735027,14,
2022,187388690,191979144,21,
2022,183086550,187735031,3,
2022,183086555,187735036,19,
2022,187388694,191979147,1,
2022,187388696,191979149,1,
2022,187388814,191979263,24,
2022,183086561,187735044,21,
2022,183086563,187735046,5,
2022,183086565,187735048,3,
2022,187388806,191979257,5,
2022,187388720,191979175,24,
2022,183086569,187735052,1,
2022,187388730,191979185,24,
2022,187388731,191979186,16,
2022,183086576,187735060,17,
2022,183086576,187735061,1,
2022,183086577,187735060,22,
2022,183086577,187735061,1,
2022,187388781,191979234,3,
2022,183086581,187735065,3,
2022,183086584,187735068,14,
2022,183086585,187735068,14,
2022,183086589,187735073,17,
2022,187388988,191979429,18,
2022,187388782,191979235,17,
2022,183086593,187735077,26,
2022,187388863,191979306,1,
2022,183086596,187735082,1,
2022,187406812,191997259,1,
2022,187388794,191979246,5,
2022,187388799,191979251,9,
2022,183086603,187735088,24,
2022,187388986,191979427,3,
2022,187388810,191979261,5,
2022,187388811,191979261,5,
2022,187388812,191979261,21,
2022,187388818,191979267,1,
2022,183086614,187735103,14,
2022,187388843,191979287,3,
2022,183086615,187735104,7,
2022,183086616,187735105,21,
2022,183086617,187735105,5,
2022,183086619,187735107,4,
2022,183086618,187735106,3,
2022,187388823,191979272,1,
2022,187388826,191979275,1,
2022,187388825,191979274,3,
2022,187389035,191979471,3,
2022,187407514,191997957,1,
2022,187388836,191979283,18,
2022,183086628,187735117,18,
2022,183086628,187735118,1,
2022,187388848,191979291,3,
2022,183086629,187735117,1,
2022,183086629,187735118,18,
2022,187388849,191979292,5,
2022,187388883,191979327,14,
2022,187388851,191979294,3,
2022,187388867,191979310,17,
2022,183086640,187735129,17,
2022,187388866,191979309,17,
2022,187388871,191979314,3,
2022,187389028,191979465,3,
2022,187389029,191979466,18,
2022,187388870,191979313,18,
2022,183086651,187735139,21,
2022,187406705,191997149,1,
2022,183086654,187735142,21,
2022,183086659,187735146,3,
2022,183086666,187735153,24,
2022,187388938,191979378,5,
2022,187407513,191997956,3,
2022,187388967,191979409,15,
2022,183086671,187735159,3,
2022,187388968,191979410,5,
2022,187388970,191979412,15,
2022,187388971,191979413,18,
2022,187388972,191979414,5,
2022,183086685,187735176,21,
2022,187407167,191997599,25,
2022,183086688,187735179,18,
2022,183086689,187735180,16,
2022,187407167,191997601,1,
2022,187407168,191997600,25,
2022,187407168,191997601,1,
2022,187389100,191979533,1,
2022,183086692,187735183,5,
2022,183086693,187735183,21,
2022,187389101,191979533,1,
2022,183086695,187735185,1,
2022,187389103,191979535,3,
