County,Agency Name, 2021 Population Estimate,Violent Crime Year to Date,Violent Crime Annual Rate,Property Crime Year to Date,Property Crime Annual Rate,Other Crime Year to Date,Other Crime Annual Rate,2021 Q1,2021 Q2,2021 Q3,2021 Q4,Year to Date,Annual Rate,2021 Q1.1,2021 Q2.1,2021 Q3.1,2021 Q4.1,Year to Date.1,Annual Rate.1,2021 Q1.2,2021 Q2.2,2021 Q3.2,2021 Q4.2,Year to Date.2,Annual Rate.2,2021 Q1.3,2021 Q2.3,2021 Q3.3,2021 Q4.3,Year to Date.3,Annual Rate.3,2021 Q1.4,2021 Q2.4,2021 Q3.4,2021 Q4.4,Year to Date.4,Annual Rate.4,2021 Q1.5,2021 Q2.5,2021 Q3.5,2021 Q4.5,Year to Date.5,Annual Rate.5,2021 Q1.6,2021 Q2.6,2021 Q3.6,2021 Q4.6,Year to Date.6,Annual Rate.6,2021 Q1.7,2021 Q2.7,2021 Q3.7,2021 Q4.7,Year to Date.7,Annual Rate.7,2021 Q1.8,2021 Q2.8,2021 Q3.8,2021 Q4.8,Year to Date.8,Annual Rate.8,2021 Q1.9,2021 Q2.9,2021 Q3.9,2021 Q4.9,Year to Date.9,Annual Rate.9,2021 Q1.10,2021 Q2.10,2021 Q3.10,2021 Q4.10,Year to Date.10,Annual Rate.10,2021 Q1.11,2021 Q2.11,2021 Q3.11,2021 Q4.11,Year to Date.11,Annual Rate.11,2021 Q1.12,2021 Q2.12,2021 Q3.12,2021 Q4.12,Year to Date.12,Annual Rate.12,2021 Q1.13,2021 Q2.13,2021 Q3.13,2021 Q4.13,Year to Date.13,Annual Rate.13,2021 Q1.14,2021 Q2.14,2021 Q3.14,2021 Q4.14,Year to Date.14,Annual Rate.14,2021 Q1.15,2021 Q2.15,2021 Q3.15,2021 Q4.15,Year to Date.15,Annual Rate.15,2021 Q1.16,2021 Q2.16,2021 Q3.16,2021 Q4.16,Year to Date.16,Annual Rate.16,2021 Q1.17,2021 Q2.17,2021 Q3.17,2021 Q4.17,Year to Date.17,Annual Rate.17,2021 Q1.18,2021 Q2.18,2021 Q3.18,2021 Q4.18,Year to Date.18,Annual Rate.18,2021 Q1.19,2021 Q2.19,2021 Q3.19,2021 Q4.19,Year to Date.19,Annual Rate.19,2021 Q1.20,2021 Q2.20,2021 Q3.20,2021 Q4.20,Year to Date.20,Annual Rate.20,2021 Q1.21,2021 Q2.21,2021 Q3.21,2021 Q4.21,Year to Date.21,Annual Rate.21,2021 Q1.22,2021 Q2.22,2021 Q3.22,2021 Q4.22,Year to Date.22,Annual Rate.22,2021 Q1.23,2021 Q2.23,2021 Q3.23,2021 Q4.23,Year to Date.23,Annual Rate.23,2021 Q1.24,2021 Q2.24,2021 Q3.24,2021 Q4.24,Year to Date.24,Annual Rate.24,2021 Q1.25,2021 Q2.25,2021 Q3.25,2021 Q4.25,Year to Date.25,Annual Rate.25,2021 Q1.26,2021 Q2.26,2021 Q3.26,2021 Q4.26,Year to Date.26,Annual Rate.26,2021 Q1.27,2021 Q2.27,2021 Q3.27,2021 Q4.27,Year to Date.27,Annual Rate.27,2021 Q1.28,2021 Q2.28,2021 Q3.28,2021 Q4.28,Year to Date.28,Annual Rate.28,2021 Q1.29,2021 Q2.29,2021 Q3.29,2021 Q4.29,Year to Date.29,Annual Rate.29,2021 Q1.30,2021 Q2.30,2021 Q3.30,2021 Q4.30,Year to Date.30,Annual Rate.30,2021 Q1.31,2021 Q2.31,2021 Q3.31,2021 Q4.31,Year to Date.31,Annual Rate.31,2021 Q1.32,2021 Q2.32,2021 Q3.32,2021 Q4.32,Year to Date.32,Annual Rate.32,2021 Q1.33,2021 Q2.33,2021 Q3.33,2021 Q4.33,Year to Date.33,Annual Rate.33,2021 Q1.34,2021 Q2.34,2021 Q3.34,2021 Q4.34,Year to Date.34,Annual Rate.34,2021 Q1.35,2021 Q2.35,2021 Q3.35,2021 Q4.35,Year to Date.35,Annual Rate.35,2021 Q1.36,2021 Q2.36,2021 Q3.36,2021 Q4.36,Year to Date.36,Annual Rate.36
Alachua,University of Florida Police Department,0,0.0,--,10,--,9,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,1.0,0.0,1.0,0.0,2,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0,0,0,0,0,--,1.0,0.0,0.0,0.0,1.0,--,1.0,0.0,0.0,0.0,1.0,--,0.0,0.0,0.0,0.0,0.0,--,3,1,2,0,6,--,0.0,0.0,0.0,0.0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,3,3,--,1.0,0.0,0.0,1.0,2.0,--,0.0,0.0,0.0,0.0,0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,1.0,0.0,1,--,0.0,0.0,0.0,3.0,3.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--
Baker,Baker County Sheriff's Office,"28,692",54.0,188.2,196,683.1,367,1279.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,9,16,7,17,49,170.8,5.0,5.0,3.0,4.0,17,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,18,5,10,45,156.8,10,2,5,23,40,139.4,4.0,2.0,9.0,4.0,19.0,66.2,1.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11,12,14,18,55,191.7,6.0,2.0,5.0,5.0,18,62.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,33,23,31,110,383.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,11,38.3,0.0,2.0,1.0,0.0,3.0,10.5,39,46,30,67,182,634.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,15,52.3,1.0,1.0,4.0,10.0,16.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,2,1,4,4,11,38.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,4.0,16,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevard,Palm Bay Police Department,"122,765",424.0,345.4,"1,428",1163.2,"3,759",3061.9,3.0,0.0,0.0,3.0,6.0,4.9,38.0,38.0,19.0,27.0,122.0,99.4,12.0,11.0,7.0,6.0,36.0,29.3,70,61,62,67,260,211.8,45.0,49.0,45.0,50.0,189,154.0,2.0,0.0,0.0,1.0,3.0,2.4,1.0,0.0,0.0,0.0,1.0,0.8,34,28,16,34,112,91.2,167,67,71,59,364,296.5,34.0,27.0,37.0,29.0,127.0,103.4,45.0,44.0,28.0,37.0,154.0,125.4,1.0,0.0,0.0,0.0,1.0,0.8,88,86,92,112,378,307.9,22.0,26.0,18.0,33.0,99,80.6,1.0,2.0,1.0,1.0,5.0,4.1,0.0,0.0,1.0,0.0,1.0,0.8,430,400,376,489,"1,695",1380.7,1.0,0.0,3.0,0.0,4.0,3.3,9.0,12.0,26.0,16.0,63,51.3,8.0,14.0,0.0,4.0,26.0,21.2,271,346,229,260,"1,106",900.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,13.0,10.6,149.0,99.0,105.0,118.0,471,383.7,10.0,9.0,7.0,11.0,37.0,30.1,4.0,4.0,1.0,3.0,12.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,9.0,14.0,38.0,31.0,5.0,5.0,2.0,3.0,15.0,12.2,14,26,17,30,87,70.9,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,17.0,23.0,91,74.1,32.0,8.0,18.0,28.0,86.0,70.1,2.0,1.0,0.0,1.0,4.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,4.1
Charlotte,Charlotte County Sheriff's Office,"170,933",241.0,141.0,"1,419",830.1,"4,177",2443.6,1.0,1.0,0.0,0.0,2.0,1.2,13.0,10.0,10.0,5.0,38.0,22.2,5.0,1.0,6.0,4.0,16.0,9.4,35,69,41,40,185,108.2,50.0,44.0,47.0,54.0,195,114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,77,48,75,65,265,155.0,57,70,69,39,235,137.5,6.0,1.0,10.0,23.0,40.0,23.4,19.0,36.0,25.0,42.0,122.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,119,113,107,94,433,253.3,37.0,36.0,28.0,27.0,128,74.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,9.0,5.3,230,300,248,259,"1,037",606.7,3.0,0.0,1.0,0.0,4.0,2.3,1.0,7.0,11.0,1.0,20,11.7,2.0,1.0,3.0,2.0,8.0,4.7,662,625,509,389,"2,185",1278.3,0.0,0.0,0.0,1.0,1.0,0.6,6.0,5.0,9.0,9.0,29.0,17.0,133.0,104.0,82.0,90.0,409,239.3,14.0,23.0,7.0,12.0,56.0,32.8,1.0,0.0,0.0,1.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,4.0,19.0,11.1,2.0,4.0,7.0,6.0,19.0,11.1,66,48,58,55,227,132.8,0.0,0.0,0.0,0.0,0.0,0.0,39.0,20.0,35.0,28.0,122,71.4,0.0,1.0,14.0,13.0,28.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collier,Collier County Sheriff's Office,"347,408",833.0,239.8,"2,823",812.6,"6,562",1888.8,1.0,0.0,0.0,2.0,3.0,0.9,29.0,41.0,26.0,25.0,121.0,34.8,24.0,21.0,20.0,25.0,90.0,25.9,143,182,138,156,619,178.2,65.0,79.0,60.0,48.0,252,72.5,1.0,3.0,4.0,1.0,9.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,69,64,110,83,326,93.8,148,102,96,60,406,116.9,33.0,58.0,42.0,54.0,187.0,53.8,97.0,104.0,117.0,135.0,453.0,130.4,0.0,0.0,2.0,1.0,3.0,0.9,279,203,230,218,930,267.7,65.0,68.0,67.0,57.0,257,74.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,6.0,13.0,3.7,630,632,646,726,"2,634",758.2,20.0,23.0,28.0,32.0,103.0,29.6,10.0,15.0,8.0,14.0,47,13.5,6.0,5.0,3.0,4.0,18.0,5.2,426,488,442,488,"1,844",530.8,0.0,0.0,1.0,0.0,1.0,0.3,7.0,12.0,12.0,14.0,45.0,13.0,215.0,192.0,183.0,223.0,813,234.0,11.0,14.0,22.0,16.0,63.0,18.1,1.0,0.0,3.0,1.0,5.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,6.0,28.0,8.1,6.0,6.0,1.0,4.0,17.0,4.9,138,165,186,169,658,189.4,0.0,0.0,0.0,0.0,0.0,0.0,51.0,45.0,33.0,35.0,164,47.2,21.0,24.0,19.0,23.0,87.0,25.0,3.0,2.0,0.0,1.0,6.0,1.7,0.0,2.0,0.0,0.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,1.0,14.0,4.0
Collier,Marco Island Police Department,"16,086",18.0,111.9,104,646.5,121,752.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,9.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,2,4,3,0,9,55.9,1.0,2.0,1.0,0.0,4,24.9,1.0,0.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,3,6,2,3,14,87.0,4,4,8,0,16,99.5,0.0,0.0,1.0,0.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,19,13,11,58,360.6,0.0,6.0,2.0,2.0,10,62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,12,16,14,50,310.8,0.0,1.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,1.0,1,6.2,0.0,1.0,0.0,0.0,1.0,6.2,3,8,1,1,13,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,14,87.0,0.0,1.0,0.0,1.0,2.0,12.4,2.0,0.0,0.0,0.0,2.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,8,10,35,217.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2
Duval,Atlantic Beach Police Department,"13,519",26.0,192.3,169,1250.1,350,2588.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,37.0,0.0,0.0,2.0,0.0,2.0,14.8,7,3,6,3,19,140.5,3.0,4.0,6.0,1.0,14,103.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,6,12,88.8,6,3,9,5,23,170.1,1.0,1.0,2.0,0.0,4.0,29.6,1.0,0.0,2.0,0.0,3.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,18,26,23,21,88,650.9,5.0,8.0,9.0,3.0,25,184.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.4,29,20,25,14,88,650.9,1.0,0.0,1.0,0.0,2.0,14.8,1.0,1.0,0.0,0.0,2,14.8,0.0,0.0,0.0,0.0,0.0,0.0,33,22,22,38,115,850.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.4,7.0,3.0,7.0,5.0,22,162.7,3.0,2.0,1.0,0.0,6.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,14.8,23,20,14,23,80,591.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,5.0,13,96.2,6.0,5.0,4.0,3.0,18.0,133.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duval,Duval County School Police Department,0,150.0,--,177,--,"2,223",--,0.0,0.0,0.0,0.0,0.0,--,15.0,20.0,17.0,11.0,63.0,--,3.0,0.0,1.0,2.0,6.0,--,21,14,24,22,81,--,7.0,10.0,21.0,23.0,61,--,0.0,2.0,0.0,0.0,2.0,--,0.0,0.0,0.0,1.0,1.0,--,0,0,0,0,0,--,1,2,2,2,7,--,0.0,0.0,0.0,0.0,0.0,--,8.0,12.0,7.0,15.0,42.0,--,1.0,0.0,0.0,0.0,1.0,--,10,13,11,27,61,--,1.0,1.0,0.0,0.0,2,--,0.0,0.0,0.0,0.0,0.0,--,1.0,1.0,0.0,0.0,2.0,--,157,326,460,651,"1,594",--,0.0,0.0,0.0,0.0,0.0,--,63.0,56.0,50.0,82.0,251,--,0.0,0.0,0.0,0.0,0.0,--,77,49,33,52,211,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,1.0,0.0,0.0,1,--,0.0,0.0,1.0,0.0,1.0,--,0.0,0.0,1.0,0.0,1.0,--,0.0,0.0,0.0,0.0,0.0,--,2.0,0.0,0.0,0.0,2.0,--,0.0,0.0,0.0,0.0,0.0,--,30,25,27,35,117,--,0.0,0.0,0.0,0.0,0.0,--,13.0,12.0,8.0,9.0,42,--,0.0,0.0,1.0,0.0,1.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--
Duval,Jacksonville Aviation Authority PD,0,0.0,--,3,--,32,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0.0,0.0,0.0,0.0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0,0,0,0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,1,1,--,0.0,0.0,0.0,2.0,2,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0,--,0.0,0.0,0.0,0.0,0.0,--,5,6,10,4,25,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,1.0,0.0,4.0,5,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0,0,0,0,0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,2.0,0.0,2,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,--
Duval,Jacksonville Sheriff's Office,"971,956",7055.0,725.9,"24,784",2549.9,"35,118",3613.1,30.0,25.0,33.0,22.0,110.0,11.3,162.0,177.0,147.0,157.0,643.0,66.2,241.0,184.0,237.0,225.0,887.0,91.3,"1,135","1,562","1,396","1,322","5,415",557.1,725.0,717.0,798.0,862.0,"3,102",319.2,16.0,11.0,7.0,18.0,52.0,5.4,13.0,5.0,5.0,5.0,28.0,2.9,"1,449","1,317","1,232","1,594","5,592",575.3,"1,377","1,478","1,697","1,663","6,215",639.4,62.0,100.0,110.0,125.0,397.0,40.8,120.0,129.0,128.0,128.0,505.0,52.0,3.0,4.0,5.0,2.0,14.0,1.4,"1,336","1,446","1,526","1,535","5,843",601.2,682.0,680.0,895.0,779.0,"3,036",312.4,3.0,1.0,2.0,1.0,7.0,0.7,17.0,20.0,14.0,25.0,76.0,7.8,"2,977","3,615","3,703","3,439","13,734",1413.0,44.0,59.0,42.0,49.0,194.0,20.0,327.0,381.0,429.0,410.0,"1,547",159.2,47.0,77.0,74.0,83.0,281.0,28.9,"1,948","1,852","1,544","1,671","7,015",721.7,3.0,0.0,1.0,0.0,4.0,0.4,39.0,62.0,74.0,90.0,265.0,27.3,485.0,422.0,447.0,453.0,"1,807",185.9,113.0,86.0,121.0,100.0,420.0,43.2,4.0,9.0,9.0,13.0,35.0,3.6,19.0,34.0,25.0,50.0,128.0,13.2,25.0,32.0,21.0,23.0,101.0,10.4,48.0,48.0,79.0,63.0,238.0,24.5,"1,417","1,628","1,630","1,603","6,278",645.9,1.0,0.0,1.0,0.0,2.0,0.2,645.0,653.0,679.0,651.0,"2,628",270.4,145.0,66.0,28.0,30.0,269.0,27.7,5.0,9.0,4.0,4.0,22.0,2.3,3.0,0.0,3.0,3.0,9.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,17.0,20.0,58.0,6.0
