County,Crime Year to Date 2021,Crime Year to Date 2022,Crime Year to Date 2023
Alachua,19.0,2295.0,1419.0
Baker,617.0,308.0,179.0
Brevard,424.0,447.0,1021.0
Broward,0.0,116.0,942.0
Charlotte,241.0,172.0,727.0
Collier,1076.0,1096.0,414.0
DeSoto,0.0,471.0,920.0
Duval,7996.0,8110.0,4195.0
Escambia,0.0,35.0,603.0
Gilchrist,47.0,0.0,0.0
Gulf,0.0,0.0,90.0
Hamilton,98.0,445.0,213.0
Hendry,1067.0,1074.0,249.0
Hernando,1179.0,1282.0,1522.0
Hillsborough,2230.0,2192.0,987.0
Indian River,0.0,0.0,28.0
Jefferson,0.0,329.0,130.0
Lake,0.0,1015.0,999.0
Leon,0.0,0.0,182.0
Manatee,0.0,274.0,894.0
Marion,1316.0,876.0,1351.0
Martin,0.0,290.0,843.0
Miami-Dade,2344.0,11453.0,8052.0
Monroe,0.0,630.0,774.0
Okaloosa,0.0,0.0,293.0
Osceola,0.0,358.0,2276.0
Palm Beach,1132.0,0.0,2373.0
Pinellas,6718.0,4954.0,3197.0
Putnam,0.0,1598.0,1278.0
Santa Rosa,0.0,0.0,45.0
Sarasota,409.0,430.0,188.0
St. Johns,95.0,1983.0,931.0
Sumter,0.0,0.0,270.0
Taylor,0.0,0.0,246.0
Walton,0.0,341.0,0.0
