data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,8,165833043,38.000,1,15129036
2022,5,165833336,3.100,1,15129069
2022,5,165833334,20.400,1,15129068
2022,5,165769855,5.500,1,15119753
2022,5,165785530,1.000,1,15122439
2022,5,165783261,13.500,1,15121915
2022,5,165833333,12.900,1,15129067
2022,5,165833345,2.400,1,15129073
2022,5,165833343,10.100,1,15129071
2022,5,165783522,1.220,1,15121948
2022,5,165833349,1.000,1,15129076
2022,2,165769925,7.700,1,15119762
2022,5,165833351,16.000,10,15129077
2022,16,165833803,1.000,9,15129197
2022,5,165833795,2.000,1,15129195
2022,8,165833793,4.000,1,15129194
2022,5,165833355,3.600,1,15129080
2022,5,165833356,12.000,1,15129081
2022,16,165833809,7.500,1,15129199
2022,16,165783155,6.000,9,15121905
2022,5,165833851,9.000,1,15129201
2022,5,165783054,10.000,1,15121886
2022,12,165832016,1.000,1,15128883
2022,16,165832016,20.000,9,15128884
2022,2,165832028,9.000,1,15128888
2022,12,165832041,3.670,1,15128891
2022,12,165782476,0.100,1,15121851
2022,12,165783100,0.910,1,15121892
2022,4,162486250,0.300,1,14667094
2022,5,165783156,2.300,4,15121906
2022,2,165833020,0.250,1,15129032
2022,8,165769707,3.900,1,15119737
2022,5,165832997,0.800,1,15129021
2022,12,165832989,3.300,1,15129017
2022,5,165833347,34.000,1,15129074
2022,5,165783778,1.200,1,15121989
2022,12,165783099,1.000,1,15121891
2022,12,165783787,1.000,1,15121993
2022,12,162491241,5.000,1,14667578
2022,5,162491245,85.400,1,14667579
2022,12,162491247,0.300,1,14667581
2022,12,162491246,2.100,1,14667580
2022,12,162487200,1.500,1,14667228
2022,12,162491259,0.900,1,14667582
2022,5,165783789,1.400,1,15121994
2022,1,165769708,3.000,1,15119738
2022,5,165829036,20.900,1,15128404
2022,11,162487203,3.400,1,14667229
2022,5,165824790,6.000,1,15127670
2022,15,165769870,8.000,9,15119754
2022,5,165832623,2.700,1,15128959
2022,5,162487205,27.800,1,14667230
2022,12,162491268,1.000,1,14667583
2022,12,162491269,20.800,1,14667584
2022,12,162491273,0.700,1,14667585
2022,5,165769326,13.000,1,15119694
2022,5,162491280,6.000,1,14667586
2022,12,162491283,4.800,1,14667587
2022,5,165769658,3.000,1,15119730
2022,12,165769310,1.000,1,15119692
2022,16,165769458,16.600,1,15119704
2022,12,165769333,1.000,9,15119695
2022,16,165769333,1.000,9,15119696
2022,5,165769314,1.000,1,15119693
2022,5,165769846,17.700,1,15119749
2022,16,165769335,5.000,9,15119697
2022,8,165769338,2.200,1,15119698
2022,8,165783428,1.000,9,15121934
2022,5,165781613,3.900,1,15121787
2022,5,165769350,1.000,1,15119699
2022,16,165769379,16.000,9,15119700
2022,16,165769379,1.000,1,15119701
2022,16,165769439,10.100,1,15119703
2022,5,165769400,1.000,1,15119702
2022,5,165769638,20.680,1,15119726
2022,16,165769479,1.000,9,15119705
2022,8,162491440,1.000,1,14667634
2022,8,162491441,1.000,1,14667635
2022,17,165769542,1.000,9,15119713
2022,5,165782728,14.000,1,15121861
2022,16,165769528,2.000,9,15119709
2022,5,165769551,7.000,1,15119714
2022,5,165769568,1.000,1,15119717
2022,5,165769645,133.000,1,15119727
2022,2,165769578,0.500,1,15119718
2022,2,165769627,2.400,1,15119723
2022,5,165769657,18.000,1,15119729
2022,8,165769905,7.100,1,15119758
