County,Agency Name,Crime Year to Date,Violent Crime Year to Date,Property Crime Year to Date,Other Crime Year to Date
Alachua,"Alachua County Sheriff's Office, Gainesville Police Department, University of Florida Police Department",2295.0,1318,800.0,177.0
Baker,Baker County Sheriff's Office,308.0,29,122.0,157.0
Brevard,Palm Bay Police Department,447.0,447,0.0,0.0
Broward,Coral Springs Police Department,116.0,116,0.0,0.0
Charlotte,Charlotte County Sheriff's Office,172.0,172,0.0,0.0
Collier,"Collier County Sheriff's Office, Marco Island Police Department",1096.0,878,85.0,133.0
DeSoto,Desoto County Sheriff's Office,471.0,104,367.0,0.0
Duval,"Atlantic Beach Police Department, Duval County School Police Department, Jacksonville Aviation Authority PD, Jacksonville Sheriff's Office, Neptune Beach Police Department",8110.0,6862,542.0,706.0
Escambia,University of West Florida Police Dept,35.0,0,20.0,15.0
Hamilton,Hamilton County Sheriff's Office,445.0,49,177.0,219.0
Hendry,Hendry County Sheriff's Office,1074.0,89,316.0,669.0
Hernando,"City of Brooksville, Hernando County Sheriff's Office",1282.0,554,307.0,421.0
Hillsborough,Tampa Police Department,2192.0,2192,0.0,0.0
Jefferson,Jefferson County Sheriff's Office,329.0,48,53.0,228.0
Lake,Leesburg Police Department,1015.0,186,829.0,0.0
Manatee,Bradenton Police Department,274.0,274,0.0,0.0
Marion,Marion County Sheriff's Office,876.0,876,0.0,0.0
Martin,Martin County Sheriff's Office,290.0,290,0.0,0.0
Miami-Dade,"Aventura Police Department, Doral Police Department, Miami Lakes Police Department, Miami-Dade Police Department, Palmetto Bay Police Department, South Miami Police Department, Sunny Isles Beach Police Department, Town of Cutler Bay Police Dept.",11453.0,6755,2268.0,2430.0
Monroe,Monroe County Sheriff's Office,630.0,181,449.0,0.0
Osceola,Kissimmee Police Department,358.0,358,0.0,0.0
Pinellas,"Belleair Beach Police Department, Belleair Bluffs Police Department, Belleair Police Department, City of Seminole, Dunedin Police Department, Indian Rocks Beach PD, Indian Shores Police Department, Largo Police Department, North Redington Beach PD, Oldsmar Police Department, Redington Beaches Police Department, South Pasadena Police Department, St. Pete Beach Police Department, Tarpon Springs Police Department, Treasure Island Police Department",4954.0,562,1745.0,2647.0
Putnam,"Crescent City Police Department, Palatka Police Department, Putnam County Sheriff's Office",1598.0,183,893.0,522.0
Sarasota,Sarasota County Sheriff's Office,430.0,430,0.0,0.0
St. Johns,"St. Augustine Beach Police Department, St. Augustine Police Department, St. Johns County Sheriff's Office",1983.0,233,1223.0,527.0
Walton,Walton County Sheriff's Office,341.0,123,218.0,0.0
